full_text,tweet_url,label
`kondoms brp score kamu? btw playing with dice tuh maksudnya judi apa gmn si. hamba tida pernah dengar main dadu haram https://t.co/NMUJY3asKV,https://x.com/tubirfess/status/1090595535570915328,Negatif
My queen judi adalah fetish nya https://t.co/8UE2BG0T1T,https://x.com/Fiksinesia_/status/1090663685805113344,Negatif
Gue berasa lg pasang judi anjir. Ga tau nnti datengnya kyk gmn wkwk https://t.co/2F2G80agVY,https://x.com/grasjelly/status/1090507210407301125,Negatif
Sekolah Darurat #Palu https://t.co/bLHzSqUOru,https://x.com/esonesia/status/1090232114975395840,Negatif
More SITUS JUDI POKERBINTANG * BONUS DEPOSIT 10 % newmember * BONUS ROLLINGAN 0 5 % * BONUS REFERALL 10 % * FREE REGISTER AGEN JUDI POKER BINTANG #agendomino #agendominoonline #agendominondonesia #agendominoterpercaya #agendominoterbesar #agendominoterbaik #bandardomino https://t.co/dQCov6h9MW,https://x.com/JudiAgent/status/1090682585041186816,Positif
yuk gabung bersama kami Situs Judi Kartu Online Terbaik WWW.MERAH408 .COM Dengan mini depo &amp; wd hanya 20 ribu saja dapatkan lagi bonus mingguan 0.5% dan bonus referral 15% dari kami jadi buruan gabung di sini dan jangan ampe ketinggalan sama yang lain loh.. https://t.co/GcBBcofhwo,https://x.com/naga888_/status/1090236897417355264,Positif
Daftar Agen Poker 99 Via Android 2019 | WARUNGPOKER99 Daftar Agen Poker 99 Via Android 2019 - Dahulu bermain judi buat kelompok bettor Indonesia jelas perihal yang cukup susah. Akan tetapi saat ini sejak terdapat https://t.co/idpPTqBGPT https://t.co/xebjc1LTPi,https://x.com/idnplay_poker/status/1089663224650166272,Positif
Situs Poker Uang Asli Deposit Terendah 2019 | WARUNGPOKER99 Situs Poker Uang Asli Deposit Terendah 2019 - Bermain judi tentu saja satu perihal yang lumayan menarik karena terdapat permainan yang memberi satu penghasilan https://t.co/pSGMKkHqmp https://t.co/a7vSmEKWzy,https://x.com/idnplay_poker/status/1090385811453800449,Positif
Menemukan konten pornografi narkoba penghasutan penipuan ujaran kebencian phishing/malware berita hoax judi online terorisme radikalisme prostitusi online kekerasan pelanggaran HAKI laporkan via nomor WhatsApp atau email berikut: https://t.co/wSDEVHLwba,https://x.com/TMCPoldaMetro/status/1090611486257336320,Negatif
Bandar Judi Online Taruhan Indonesia LIGA188 Agen Judi Bandar Judi Judi Online Situs Judi Agen Bandar Judi Situs Agen Judi https://t.co/ZahVmxRLYc #BandarJudiOnline #Liga188 #wliga188 #AgenJudi #SitusJudi #JudiOnline #AgenBAndarJudi #SitusAgenJudi https://t.co/HI7vD5Vabb,https://x.com/Liga188O/status/1090693221221429248,Negatif
Qatar Maju ke Final Piala Asia AFC: final Piala Asia AFC 2019 Agen Judi Online ~ Qatar mengirim pesan penting pada peserta Piala Dunia 2022 setelah lolos ke final Piala Asia AFC 2019 usai mengalahkan Uni Emirat Arab dengan skor 4-0 Selasa (29/1). Ini https://t.co/aBmhkORCue https://t.co/7ZKfKbP3VQ,https://x.com/cs1_lexus88/status/1090337310850174976,Negatif
Hakeem Al Araibi Takut Diculik dan Dihabisi Jika Pulang ke Bahrain: Seorang pemain bola Bahrain Hakeem Al Araibi Agen Judi Online ~ Seorang pemain bola Bahrain Hakeem Al Araibi ditangkap pihak berwenang di Thailand dan terancam diekstradisi kembali ke https://t.co/iqa8UvMR3g https://t.co/GicK6MScpr,https://x.com/cs1_lexus88/status/1090700455888310272,Positif
10 Cedera Paling Konyol Para Pemain Sepakbola: salah satu yang paling dihindari oleh para pemain sepakbola Agen Judi Online ~ Cedera adalah salah satu yang paling dihindari oleh para pemain sepakbola. Tapi rupanya cedera bukan hanya didapat dari lapangan https://t.co/O6vcWowGXy https://t.co/clMMzfbbeF,https://x.com/cs1_lexus88/status/1090337318190235648,Negatif
Prediksi Bournemouth vs Chelsea 31 Januari 2019: Chelsea berhasil lolos ke final Piala Liga dan lolos Agen Judi Online ~ Prediksi pertandingan antara Bournemouth vs Chelsea pada pekan ke-24 Liga Inggris bertempat di Stadion Vitality pada hari Kamis https://t.co/2LcqzrR7ST https://t.co/PjhiF1nvja,https://x.com/cs1_lexus88/status/1090477096604815361,Positif
Arsenal Salah Besar Rekrut Denis Suarez dari Barcelona: Denis Suarez akan bergabung ke Arsenal Agen Judi Online ~ Arsenal dinilai sudah melakukan kesalahan besar merekrut Denis Suarez seorang gelandang Barcelona pada jendela transfer ini. Hal itu https://t.co/DJT52bvQf8 https://t.co/At4XeF5Stf,https://x.com/cs1_lexus88/status/1090700450251210752,Negatif
Polsek Rohul Amankan Empat Pelaku Judi Domino di Kepenuhan Tengah https://t.co/IM4sPRVSCJ https://t.co/go8TG4gaVu,https://x.com/Riau24Com/status/1090080868989726721,Negatif
Betul ke mesin2 ni semuanya kategori mesin judi? Sebab modal rm1-2 dan kalau bernasib baik boleh dapat Teddy bear harga berbelas ringgit. Ada yang habis berpuluh ringgit pun tak dapat apa. Mohon penerangan. Di merata shopping mall ada. @drzul_albakri @FirdausWong https://t.co/38rDt4DsjW,https://x.com/J4frul/status/1090131787039223813,Negatif
Hukum kok klomoh ganja dipenjara sex dipenjara judi dipenjara. Merusak kepercayaan yang dipeluk kok malah dilindungi. Nek ngelih aku ngene iki,https://x.com/Hewani23/status/1090670408183869441,Negatif
BONUS NEW MEMBER : 10% + 10% BONUS NEXT DEPOSIT : 5% BONUS CASHBACK MINGGUAN : 0.5% BONUS REFERRAL : 20% LINK : https://t.co/4LAyOKbkOT #BreakingNews #Diorwin #Diorpoker88 #Diorqq #Diorgroup #Sbobet #Poker #Capsa #Sakong #Aduq #Domino #poker88 #dewapoker #BandarQOnline #judi https://t.co/zuOz5zv6xh,https://x.com/Melissa7734/status/1090065918409957376,Positif
Ayahku mengenalkanku pada judi sejak dini,https://x.com/aerorun/status/1090668165313392640,Negatif
Tersenyum sabar melihat force sedang bermain judi tanpa mengajak ratu judi https://t.co/bxAUNN3Co9,https://x.com/OHYERINel/status/1090250588074340352,Negatif
